Name	Feature	UTM_X	UTM_Y	Lat	Lon	row	col
VelinoCluster155	Cluster	350125	4657875	42.05864651	13.18866792	268	159
VelinoCluster156	Cluster	361375	4674625	42.21150487	13.32059219	201	204
VelinoCluster157	Cluster	344875	4658375	42.06212866	13.12511828	266	138
VelinoCluster158	Cluster	362125	4660875	42.0878517	13.3329266	256	207
VelinoCluster159	Cluster	376125	4663875	42.11719596	13.50150816	244	263
VelinoCluster160	Cluster	329125	4707875	42.50437779	12.92026734	68	75
VelinoCluster161	Cluster	328125	4693375	42.3736567	12.91244225	126	71
VelinoCluster162	Cluster	347875	4692375	42.36877158	13.15245658	130	150
VelinoCluster163	Cluster	350625	4712625	42.55158329	13.18056726	49	161
VelinoCluster164	Cluster	348125	4675375	42.21579423	13.15995237	198	151
VelinoCluster165	Cluster	387625	4637125	41.87806746	13.64569914	351	309
VelinoCluster166	Cluster	369125	4646875	41.9630052	13.42065639	312	235
VelinoCluster167	Cluster	329875	4712875	42.54954275	12.9279025	48	78
VelinoCluster168	Cluster	384875	4644375	41.94295206	13.61115186	322	298
VelinoCluster169	Cluster	349625	4715375	42.57614249	13.16766853	38	157
VelinoCluster170	Cluster	340375	4667375	42.14223992	13.06830118	230	120
VelinoCluster171	Cluster	331875	4693125	42.37222671	12.95803349	127	86
VelinoCluster172	Cluster	390875	4633625	41.84700686	13.68550256	365	322
VelinoCluster173	Cluster	321875	4692875	42.36774991	12.83673715	128	46
VelinoCluster174	Cluster	382875	4635625	41.86387201	13.58876753	357	290
VelinoCluster175	Cluster	337375	4705125	42.48140425	13.02139964	79	108
VelinoCluster176	Cluster	393125	4645875	41.95761942	13.7103809	316	331
VelinoCluster177	Cluster	344375	4686375	42.31407151	13.11158898	154	136
VelinoCluster178	Cluster	385875	4633375	41.84405077	13.62533814	366	302
VelinoCluster179	Cluster	337625	4673875	42.20018199	13.03322852	204	109
VelinoCluster180	Cluster	380125	4660125	42.08405401	13.5506494	259	279
VelinoCluster181	Cluster	378125	4643375	41.93293452	13.52995304	326	271
VelinoCluster182	Cluster	314875	4710625	42.5258471	12.74606536	57	18
VelinoCluster183	Cluster	347375	4648125	41.97034801	13.15798413	307	148
VelinoCluster184	Cluster	350625	4685125	42.30404308	13.1877141	159	161
VelinoCluster185	Cluster	354125	4656375	42.04589571	13.23736147	274	175
VelinoCluster186	Cluster	351125	4669625	42.1646105	13.19775284	221	163
VelinoCluster187	Cluster	360375	4671125	42.17981839	13.30932279	215	200
VelinoCluster188	Cluster	346625	4694125	42.38427827	13.13681746	123	145
