var	variable	unit	temporal_resolution	per_soil_layer
rap.L	Undercanopy Resistance Low Vegetation	[s/m]	hourly	FALSE
rb.H	Leaf Boundary Resistance High Vegetation	[s/m]	hourly	FALSE
rb.L	Leaf Boundary Resistance Low Vegetation	[s/m]	hourly	FALSE
Rd	Saturation excess runoff	[mm]	hourly	FALSE
Rdark.H	Leaf Dark Respirat. High Veg.	[µmol CO2 / m2 PFT s]	hourly	FALSE
Rdark.L	Leaf Dark Respirat. Low Veg.	[µmol CO2 / m2 PFT s]	hourly	FALSE
Rg.H	Growth Respirat. High Veg.	[gC / m2 PFT day]	daily	FALSE
Rg.L	Growth Respirat. Low Veg.	[gC / m2 PFT day]	daily	FALSE
Rh	Infiltration excess runoff	[mm]	hourly	FALSE
Rmc.H	Maint. Respirat. Carbohydrate reserve High Veg.	[gC / m2 PFT day]	daily	FALSE
Rmc.L	Maint. Respirat. Carbohydrate reserve Low Veg.	[gC / m2 PFT day]	daily	FALSE
Rmr.H	Maint. Respirat. roots High Veg.	[gC / m2 PFT day]	daily	FALSE
Rmr.L	Maint. Respirat. roots Low Veg.	[gC / m2 PFT day]	daily	FALSE
Rms.H	Maint. Respirat. sapwood High Veg.	[gC / m2 PFT day]	daily	FALSE
Rms.L	Maint. Respirat. sapwood Low Veg.	[gC / m2 PFT day]	daily	FALSE
Rn	Net radiation	[W/m2]	hourly	FALSE
ros	Snow density	[kg/m3]	hourly	FALSE
Rrootl.H	Root Length Index High Vegetation	[m root / m2 PFT]	daily	FALSE
Rrootl.L	Root Length Index Low Vegetation	[m root / m2 PFT]	daily	FALSE
Rsws	Net shortwave radiation	[W/m2]	hourly	FALSE
SE.rock	Runoff on Rock	[mm]	hourly	FALSE
SE.urb	Runoff on impervious surfaces	[mm]	hourly	FALSE
Sfr.H	Fruit Maturation Rate High Vegetation	[gC / m2 PFT day]	daily	FALSE
Sfr.L	Fruit Maturation Rate Low Vegetation	[gC / m2 PFT day]	daily	FALSE
SIF.H	Solar induced Chlorophyll Fluoroscence High Vegetation	[W m-2 sr-1 um-1]	hourly	FALSE
SIF.L	Solar induced Chlorophyll Fluoroscence Low Vegetation	[W m-2 sr-1 um-1]	hourly	FALSE
Slf.H	Leaf Fall Rate High Vegetation	[gC / m2 PFT day]	daily	FALSE
Slf.L	Leaf Fall Rate Low Vegetation	[gC / m2 PFT day]	daily	FALSE
Sll.H	Leaf Mortality Rate High Vegetation	[gC / m2 PFT day]	daily	FALSE
Sll.L	Leaf Mortality Rate Low Vegetation	[gC / m2 PFT day]	daily	FALSE
