Name,LAT,LON,ELEV,hDebris,Var6,Var7,Var8,Station,Lat___,Lon___,Elevation_m_,VariableMeasured,RecordingSince,LON_UTM,LAT_UTM,ID,Elevation,Slope,Aspect,COL,ROW,idx
Cluster_24,39.0548334621103,71.4291685764407,0,0,0,0,0,,0,0,0,,,710196.6305,4325669.9468,57,4585.81030225707,0.349082623409036,1.05712690925702,30,60,6353
Cluster_25,39.0252725660262,71.4639620386973,0,0,0,0,0,,0,0,0,,,713296.6305,4322469.9468,58,4093.68463104934,0.336892436559832,2.62290254964576,61,28,13048
Cluster_26,39.0349061023062,71.4342617598299,0,0,0,0,0,,0,0,0,,,710696.6305,4323469.9468,59,4765.11190339477,0.784604753566977,3.54394704399208,35,38,7416
Cluster_27,39.0376070470436,71.43435448565,0,0,0,0,0,,0,0,0,,,710696.6305,4323769.9468,60,4566.73566383817,0.260426719051186,2.78255026199912,35,41,7419
Cluster_28,39.0636436660303,71.4387159771949,0,0,0,0,0,,0,0,0,,,710996.6305,4326669.9468,61,3925.82781296298,0.138524850559141,4.04745136756807,38,70,8099
Cluster_29,39.0668324120477,71.4584728917548,0,0,0,0,0,,0,0,0,,,712696.6305,4327069.9468,62,5192.38380397823,0.633889716158631,4.4895527248543,55,74,11792
Cluster_30,39.017456941041,71.4925631603861,0,0,0,0,0,,0,0,0,,,715796.6305,4321669.9468,63,5066.49119041346,0.826716308136956,3.66061267994261,86,20,18465
Cluster_31,39.0811883248111,71.4612832569609,0,0,0,0,0,,0,0,0,,,712896.6305,4328669.9468,64,4128.01898020337,0.520853438102372,3.24307250917228,57,90,12242
Cluster_32,39.0293110431134,71.4433105364048,0,0,0,0,0,,0,0,0,,,711496.6305,4322869.9468,65,4994.00756442162,0.535260022560522,2.65360403279064,43,32,9146
Cluster_33,39.0124240008022,71.4750640910702,0,0,0,0,0,,0,0,0,,,714296.6305,4321069.9468,66,5089.38075651614,0.452145112225038,2.40799216763162,71,14,15204
Cluster_34,39.0386919213674,71.5106381990001,0,0,0,0,0,,0,0,0,,,717296.6305,4324069.9468,67,3765.60085024419,0.171770814693335,0.252748050861232,101,44,21744
Cluster_35,39.0669297640374,71.4538534163755,0,0,0,0,0,,0,0,0,,,712296.6305,4327069.9468,68,4932.96872148113,0.611725740069168,4.33604530912991,51,74,10924
Cluster_36,39.0139051421056,71.4901287137859,0,0,0,0,0,,0,0,0,,,715596.6305,4321269.9468,69,5364.05554974837,0.72919481334332,3.814120095667,84,16,18027
Cluster_37,39.0431774335747,71.4264584496809,0,0,0,0,0,,0,0,0,,,709996.6305,4324369.9468,70,4753.66712034343,0.543017414191834,0.82379563735595,28,47,5906
Cluster_38,39.114611738968,71.4994539409412,0,0,0,0,0,,0,0,0,,,716096.6305,4332469.9468,71,3166.65720389059,0.271508707095917,4.54481539451508,89,128,19224
Cluster_39,39.0503830560595,71.4694565875047,0,0,0,0,0,,0,0,0,,,713696.6305,4325269.9468,72,4414.13855648693,0.291456285576433,1.54221034294608,65,56,13944
Cluster_40,39.0259773428895,71.47322686223,0,0,0,0,0,,0,0,0,,,714096.6305,4322569.9468,73,3944.90245138189,0.136308452950195,2.05185496315104,69,29,14785
Cluster_41,39.0463199879427,71.4485182487017,0,0,0,0,0,,0,0,0,,,711896.6305,4324769.9468,74,4597.25508530841,0.529719028538157,4.91937348888258,47,51,10033
Cluster_42,39.0814010203327,71.4936571506777,0,0,0,0,0,,0,0,0,,,715696.6305,4328769.9468,75,3353.58866039586,0.147390440994926,2.29746682831006,85,91,18319
Cluster_43,39.0782656891959,71.4288164251735,0,0,0,0,0,,0,0,0,,,710096.6305,4328269.9468,76,3735.08142877394,0.130767458927829,2.72114729570937,29,86,6162
Cluster_44,39.1237134243946,71.4951492141624,0,0,0,0,0,,0,0,0,,,715696.6305,4333469.9468,77,3048.39444569339,0.114144476860733,3.38429933163872,85,138,18366
Cluster_45,39.1038174546396,71.4562888804426,0,0,0,0,0,,0,0,0,,,712396.6305,4331169.9468,78,3593.92910447405,0.105278886424947,3.48254407770233,52,115,11182
Cluster_46,39.0363627507542,71.4932276318329,0,0,0,0,0,,0,0,0,,,715796.6305,4323769.9468,79,3784.67548866309,0.100846091207055,2.85623382154683,86,41,18486
Cluster_47,39.0654684405327,71.4376231083452,0,0,0,0,0,,0,0,0,,,710896.6305,4326869.9468,80,3906.75317454408,0.155147832626238,4.96235556528541,37,72,7884
Cluster_48,39.0822270833245,71.4971541199513,0,0,0,0,0,,0,0,0,,,715996.6305,4328869.9468,81,3368.84837113098,0.407817160046112,4.71060340349742,88,92,18971
Cluster_49,39.058795397169,71.4974835933957,0,0,0,0,0,,0,0,0,,,716096.6305,4326269.9468,82,3574.85446605515,0.100846091207055,3.40272022152564,89,66,19162
Cluster_50,39.0478931376147,71.5017209573577,0,0,0,0,0,,0,0,0,,,716496.6305,4325069.9468,83,3716.00679035504,0.0831149103354848,3.30447547546204,93,54,20018
Cluster_51,39.0618672065637,71.4374991878802,0,0,0,0,0,,0,0,0,,,710896.6305,4326469.9468,84,3967.79201748457,0.550774805823146,2.70272640582244,37,68,7880
Cluster_52,39.0322058460564,71.4769094984628,0,0,0,0,0,,0,0,0,,,714396.6305,4323269.9468,85,3895.30839149274,0.149606838603873,2.01501318337719,72,36,15443
Cluster_53,39.1137362656956,71.4982665220186,0,0,0,0,0,,0,0,0,,,715996.6305,4332369.9468,86,3139.95271010413,0.287023490358541,4.63691984394971,88,127,19006
Cluster_54,39.1011821307745,71.4955105671147,0,0,0,0,0,,0,0,0,,,715796.6305,4330969.9468,87,3250.58561293377,0.217206965676734,4.1886781900345,86,113,18558
Cluster_55,39.0910915028738,71.4616276522142,0,0,0,0,0,,0,0,0,,,712896.6305,4329769.9468,88,3716.00679035504,0.0720329222907535,3.88780365521471,57,101,12253
Cluster_56,39.0297008035036,71.4675811866894,0,0,0,0,0,,0,0,0,,,713596.6305,4322969.9468,89,4005.94129432238,0.147390440994926,0.731691187921318,64,33,13704
Cluster_57,39.0595965994796,71.5021341810131,0,0,0,0,0,,0,0,0,,,716496.6305,4326369.9468,90,3597.74403215783,0.285915291554068,4.15183641026065,93,67,20031
Cluster_58,39.0678228199339,71.4966461735142,0,0,0,0,0,,0,0,0,,,715996.6305,4327269.9468,91,3464.2215632255,0.151823236212819,2.50623691369523,88,76,18955
Cluster_59,39.0665147557581,71.4734860319495,0,0,0,0,0,,0,0,0,,,713996.6305,4327069.9468,92,4360.729568914,0.595102758002071,1.60361330923583,68,74,14613
Cluster_60,39.0892377182994,71.4211003349289,0,0,0,0,0,,0,0,0,,,709396.6305,4329469.9468,93,3632.07838131186,0.0620591330504954,4.15183641026065,22,98,4655
Cluster_61,39.1327407738356,71.4943111700211,0,0,0,0,0,,0,0,0,,,715596.6305,4334469.9468,94,2949.20632591509,0.205016778827529,3.72815594286134,84,148,18159
Cluster_62,39.0371889050625,71.4967223450996,0,0,0,0,0,,0,0,0,,,716096.6305,4323869.9468,95,3769.41577792797,0.0875477055533774,1.62817449575174,89,42,19138
Cluster_63,39.070114718856,71.4308484048351,0,0,0,0,0,,0,0,0,,,710296.6305,4327369.9468,96,3826.63969318468,0.123010067296518,3.01588153390019,31,77,6587
Cluster_64,39.1119605186744,71.4970473414344,0,0,0,0,0,,0,0,0,,,715896.6305,4332169.9468,97,3132.32285473657,0.220531562090153,2.14395941258567,87,125,18787
Cluster_65,39.0778246563152,71.4923752965664,0,0,0,0,0,,0,0,0,,,715596.6305,4328369.9468,98,3414.62750333635,0.363489207867187,1.91676843731358,84,87,18098
Cluster_66,39.1019380803449,71.4169097705038,0,0,0,0,0,,0,0,0,,,708996.6305,4330869.9468,99,3529.07533384978,0.191718393173852,2.80711144851502,18,112,3801
Cluster_67,39.0975154229908,71.4560700761601,0,0,0,0,0,,0,0,0,,,712396.6305,4330469.9468,100,3658.78287509832,0.105278886424947,2.96675916086839,52,108,11175
Cluster_68,39.0876534225062,71.4961895218661,0,0,0,0,0,,0,0,0,,,715896.6305,4329469.9468,101,3319.25431124183,0.168446218279916,4.42200946193557,87,98,18760
Cluster_69,39.035140565406,71.5082020805716,0,0,0,0,0,,0,0,0,,,717096.6305,4323669.9468,102,3811.37998244956,0.479850082336866,2.85623382154683,99,40,21306
Cluster_70,39.0994804888433,71.4908255833108,0,0,0,0,0,,0,0,0,,,715396.6305,4330769.9468,103,3273.47517903646,0.319161255688262,1.68343716541251,82,111,17688
Cluster_71,39.1332089660987,71.4723486153046,0,0,0,0,0,,0,0,0,,,713696.6305,4334469.9468,104,3281.10503440402,0.113036278056259,4.12727522374475,65,148,14036
Cluster_72,39.1425940752582,71.4969729662989,0,0,0,0,0,,0,0,0,,,715796.6305,4335569.9468,105,2834.75849540166,0.138524850559141,3.17552924625355,86,159,18604
Cluster_73,39.0977826137994,71.4433609381678,0,0,0,0,0,,0,0,0,,,711296.6305,4330469.9468,106,3738.89635645772,0.393410575587962,2.67816521930654,41,108,8788
Cluster_74,39.1114081363778,71.438049430746,0,0,0,0,0,,0,0,0,,,710796.6305,4331969.9468,107,3403.18272028501,0.230505351330411,3.17552924625355,36,123,7718
Cluster_75,39.1537992507278,71.5205117200913,0,0,0,0,0,,0,0,0,,,717796.6305,4336869.9468,108,2510.48964228029,0.43884672657136,0.615025551970784,106,172,22957
Cluster_76,39.1762250133584,71.4831153362965,0,0,0,0,0,,0,0,0,,,714496.6305,4339269.9468,109,3136.13778242035,0.202800381218583,5.3921763293137,73,196,15820
Cluster_77,39.0963921979355,71.4236575304881,0,0,0,0,0,,0,0,0,,,709596.6305,4330269.9468,110,3555.77982763624,0.278157899922756,4.75972577652922,24,106,5097
Cluster_78,39.1542578209696,71.4568854912791,0,0,0,0,0,,0,0,0,,,712296.6305,4336769.9468,111,3185.7318423095,0.25488572502882,1.15537165532063,51,171,11021
Cluster_79,39.0960304432189,71.4409880460721,0,0,0,0,0,,0,0,0,,,711096.6305,4330269.9468,112,3872.41882539005,0.469876293096608,2.50623691369523,39,106,8352
Cluster_80,39.1387446885348,71.5084057146994,0,0,0,0,0,,0,0,0,,,716796.6305,4335169.9468,113,2941.57647054752,0.487607473968178,3.35973814512282,96,155,20770
Cluster_81,39.1444936297832,71.4924122113223,0,0,0,0,0,,0,0,0,,,715396.6305,4335769.9468,114,3067.46908411229,0.531935426147103,1.19221343509448,82,161,17738
Cluster_82,39.1241571425835,71.4743452652885,0,0,0,0,0,,0,0,0,,,713896.6305,4333469.9468,115,3353.58866039586,0.38565318395665,1.35186114744784,67,138,14460
Cluster_83,39.1499224031195,71.5331009994985,0,0,0,0,0,,0,0,0,,,718896.6305,4336469.9468,116,2422.74630555333,0.467659895487661,2.75798907548322,117,168,25340
Cluster_84,39.0739263653074,71.5061079203993,0,0,0,0,0,,0,0,0,,,716796.6305,4327969.9468,117,3693.11722425235,0.464335299074242,4.5141139113702,96,83,20698
Cluster_85,39.1077101265807,71.442547483308,0,0,0,0,0,,0,0,0,,,711196.6305,4331569.9468,118,3517.63055079843,0.247128333397508,2.95447856761044,40,119,8582
Cluster_86,39.1557496586464,71.5136384037813,0,0,0,0,0,,0,0,0,,,717196.6305,4337069.9468,119,2697.42109878555,0.472092690705554,0.486079322762299,100,174,21657
Cluster_87,39.1073352569517,71.5026658655776,0,0,0,0,0,,0,0,0,,,716396.6305,4331669.9468,120,3326.88416660939,0.453253311029511,4.27464234284016,92,120,19867
Cluster_88,39.0918206723067,71.4697458494942,0,0,0,0,0,,0,0,0,,,713596.6305,4329869.9468,121,4017.38607737372,0.506446853644221,4.66148103046561,64,102,13773
Cluster_89,39.0911057845074,71.5032479021568,0,0,0,0,0,,0,0,0,,,716496.6305,4329869.9468,122,3616.81867057674,0.518637040493425,4.62463925069176,93,102,20066
Cluster_90,39.1238370514498,71.4893703855564,0,0,0,0,0,,0,0,0,,,715196.6305,4333469.9468,123,3033.13473495826,0.108603482838367,4.09657374059987,80,138,17281
Cluster_91,39.1102342407811,71.4935171398307,0,0,0,0,0,,0,0,0,,,715596.6305,4331969.9468,124,3239.14082988243,0.190610194369379,3.19395013614048,84,123,18134
Cluster_92,39.1344272108053,71.45735262011,0,0,0,0,0,,0,0,0,,,712396.6305,4334569.9468,125,3178.10198694194,0.282590695140648,4.36674679227479,52,149,11216
Cluster_93,39.1552967236784,71.492793530905,0,0,0,0,0,,0,0,0,,,715396.6305,4336969.9468,126,2926.3167598124,0.565181390281297,5.68077027087554,82,173,17750
Cluster_94,39.1342072834667,71.4677562963503,0,0,0,0,0,,0,0,0,,,713296.6305,4334569.9468,127,3265.8453236689,0.0953050971846893,5.59480611806988,61,149,13169
Cluster_95,39.1550983786616,71.5020437313066,0,0,0,0,0,,0,0,0,,,716196.6305,4336969.9468,128,2968.28096433399,0.470984491901081,1.15537165532063,90,173,19486
Cluster_96,39.1701446340103,71.472484755301,0,0,0,0,0,,0,0,0,,,713596.6305,4338569.9468,129,3017.87502422314,0.178420007520174,5.13428387089673,64,189,13860
Cluster_97,39.1398231728418,71.4147346134826,0,0,0,0,0,,0,0,0,,,708696.6305,4335069.9468,130,3365.0334434472,0.213882369263314,0.928180680048533,15,154,3192
Cluster_98,39.123184556189,71.4349856442126,0,0,0,0,0,,0,0,0,,,710496.6305,4333269.9468,131,3334.51402197695,0.137416651754668,3.04658301704507,33,136,7080
